,,,,,,,Daily Price Arrival Report-07-11-2025 to 26-02-2026 for Maharashtra,,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Maharashtra,Ahmednagar,Rahuri APMC,Vegetables,Potato,Other,Local,"1,000.00","2,500.00","1,750.00",Rs./Quintal,8.40,Metric Tonnes,11-12-2025
Maharashtra,Ahmednagar,Rahuri APMC,Vegetables,Potato,Other,Local,600.00,"1,300.00",950.00,Rs./Quintal,7.70,Metric Tonnes,11-02-2026
Maharashtra,Ahmednagar,Rahuri APMC,Vegetables,Potato,Other,Local,"1,000.00","2,000.00","1,500.00",Rs./Quintal,4.40,Metric Tonnes,11-01-2026
Maharashtra,Ahmednagar,Rahuri APMC,Vegetables,Potato,Other,Local,"1,800.00","2,000.00","1,900.00",Rs./Quintal,3.30,Metric Tonnes,10-12-2025
Maharashtra,Ahmednagar,Rahuri APMC,Vegetables,Potato,Other,Local,"1,000.00","1,500.00","1,250.00",Rs./Quintal,9.50,Metric Tonnes,10-02-2026
Maharashtra,Ahmednagar,Rahuri APMC,Vegetables,Potato,Other,Local,"1,000.00","1,600.00","1,300.00",Rs./Quintal,6.70,Metric Tonnes,10-01-2026
Maharashtra,Ahmednagar,Rahuri APMC,Vegetables,Potato,Other,Local,"1,000.00","2,000.00","1,500.00",Rs./Quintal,4.70,Metric Tonnes,09-12-2025
Maharashtra,Ahmednagar,Rahuri APMC,Vegetables,Potato,Other,Local,800.00,"1,500.00","1,150.00",Rs./Quintal,3.30,Metric Tonnes,08-02-2026
Maharashtra,Ahmednagar,Rahuri APMC,Vegetables,Potato,Other,Local,"1,000.00","2,000.00","1,500.00",Rs./Quintal,6.80,Metric Tonnes,08-01-2026
Maharashtra,Ahmednagar,Rahuri APMC,Vegetables,Potato,Other,Local,500.00,"2,500.00","1,500.00",Rs./Quintal,0.70,Metric Tonnes,07-12-2025
Maharashtra,Ahmednagar,Rahuri APMC,Vegetables,Potato,Other,Local,"1,000.00","2,500.00","1,750.00",Rs./Quintal,2.70,Metric Tonnes,07-01-2026
Maharashtra,Ahmednagar,Rahuri APMC,Vegetables,Potato,Other,Local,"1,500.00","2,500.00","2,000.00",Rs./Quintal,0.70,Metric Tonnes,06-12-2025
Maharashtra,Ahmednagar,Rahuri APMC,Vegetables,Potato,Other,Local,"1,000.00","2,000.00","1,500.00",Rs./Quintal,4.00,Metric Tonnes,04-01-2026
